"NUTS_ID","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","region_id","psi_mean_am","psi_equiv_days_per_year_am","psi_interannual_sd_am","psi_mean_rape","psi_equiv_days_rape","psi_equiv_days_per_year_rape","psi_deficit_days_rape","psi_deficit_days_per_year_rape","psi_interannual_sd_rape","crop_frac_rape","crop_suit_rape","crop_bad_rape","psi_mean_temf","psi_equiv_days_temf","psi_equiv_days_per_year_temf","psi_deficit_days_temf","psi_deficit_days_per_year_temf","psi_interannual_sd_temf","crop_frac_temf","crop_suit_temf","crop_bad_temf","psi_mean_sunf","psi_equiv_days_sunf","psi_equiv_days_per_year_sunf","psi_deficit_days_sunf","psi_deficit_days_per_year_sunf","psi_interannual_sd_sunf","crop_frac_sunf","crop_suit_sunf","crop_bad_sunf"
"DEA3",2,"DE","Münster","Münster",NA,NA,NA,"DEA3",0.531616985797882,32.428638458252,0.134370490908623,0.531616985797882,389.143615722656,32.428638458252,342.856353759766,28.5713653564453,0.134370490908623,0.0129363527521491,0.00685017323121428,0.37125688791275,0.463200360536575,200.102554321289,16.6752128601074,231.897430419922,19.3247871398926,0.186189472675323,0.0019078009063378,0.000885842775460333,0.036790493875742,0.749777793884277,287.914672851562,23.9928894042969,96.0853271484375,8.00711059570312,0.100794054567814,5.83767796342727e-05,4.35245601693168e-05,0.000475271051982418
"DEA4",2,"DE","Detmold","Detmold",NA,NA,NA,"DEA4",0.487013399600983,29.7078189849854,0.128496080636978,0.487013399600983,356.493804931641,29.7078189849854,375.506195068359,31.2921829223633,0.128496080636978,0.0118114668875933,0.00576367136090994,0.368915557861328,0.419073164463043,181.039596557617,15.0866327285767,250.960418701172,20.913366317749,0.183732390403748,0.00220267754048109,0.000968078384175897,0.0444455705583096,0.755049109458923,289.938873291016,24.1615715026855,94.0611343383789,7.83842849731445,0.0814296305179596,7.00457894708961e-05,5.46407936781179e-05,0.000492959981784225
"DEA5",2,"DE","Arnsberg","Arnsberg",NA,NA,NA,"DEA5",0.438537836074829,26.7508087158203,0.12805487215519,0.438537836074829,321.009704589844,26.7508087158203,410.990325927734,34.249195098877,0.12805487215519,0.00550559954717755,0.00254777376540005,0.180427372455597,0.378619164228439,163.5634765625,13.6302900314331,268.436553955078,22.3697109222412,0.182798102498055,0.00149711803533137,0.000659112760331482,0.0301681887358427,0.729063749313354,279.960510253906,23.3300399780273,104.039512634277,8.66995906829834,0.11601597815752,4.37982816947624e-05,3.33118732669391e-05,0.000335565011482686
"DEB1",2,"DE","Koblenz","Koblenz",NA,NA,NA,"DEB1",0.495303899049759,30.2135372161865,0.146791011095047,0.495303899049759,362.562469482422,30.2135372161865,369.437561035156,30.7864627838135,0.146791011095047,0.0302460547536612,0.0153684671968222,0.907532870769501,0.448810964822769,193.886337280273,16.1571960449219,238.113662719727,19.8428039550781,0.204015299677849,0.00286286789923906,0.00128485355526209,0.0568085201084614,0.753748834133148,289.439544677734,24.1199626922607,94.5604782104492,7.88004016876221,0.110474839806557,0.000335830147378147,0.00025755469687283,0.00250481348484755
"DEB2",2,"DE","Trier","Trier",NA,NA,NA,"DEB2",0.46859809756279,28.5844821929932,0.148442849516869,0.46859809756279,343.013793945312,28.5844821929932,388.986206054688,32.4155158996582,0.148442849516869,0.0344294309616089,0.016658179461956,1.08404624462128,0.413328051567078,178.557723999023,14.879810333252,253.442276000977,21.120189666748,0.196662828326225,0,0,0,0.761096894741058,292.261199951172,24.3551006317139,91.7387924194336,7.64489984512329,0.109333775937557,0.000311133306240663,0.000238216496654786,0.0023333381395787
"DEB3",2,"DE","Rheinhessen-Pfalz","Rheinhessen-Pfalz",NA,NA,NA,"DEB3",0.583286345005035,35.5804672241211,0.149574503302574,0.583286345005035,426.965606689453,35.5804672241211,305.034423828125,25.4195346832275,0.149574503302574,0.0314186774194241,0.0186368096619844,0.779693961143494,0.544623017311096,235.277145385742,19.6064281463623,196.722869873047,16.3935718536377,0.195834428071976,0.00839501712471247,0.00480858189985156,0.12911169230938,0.760575473308563,292.060974121094,24.338415145874,91.9390335083008,7.66158628463745,0.0930112078785896,0.000425617472501472,0.000325118715409189,0.0032159595284611
"DEC0",2,"DE","Saarland","Saarland",NA,NA,NA,"DEC0",0.529525816440582,32.3010749816895,0.160172894597054,0.529525816440582,387.612884521484,32.3010749816895,344.387084960938,28.6989250183105,0.160172894597054,0.0172476395964622,0.00910107605159283,0.496940314769745,0.483581751585007,208.907318115234,17.4089412689209,223.092681884766,18.5910587310791,0.203627318143845,0.00422210618853569,0.00206483830697834,0.0776616483926773,0.752016842365265,288.774475097656,24.0645389556885,95.2255325317383,7.93546056747437,0.0994297116994858,0.00112294056452811,0.000851414864882827,0.00868882145732641
"DED2",2,"DE","Dresden","Dresden",NA,NA,NA,"DED2",0.520232796669006,31.7342014312744,0.119316048920155,0.520232796669006,380.810394287109,31.7342014312744,351.189605712891,29.2658004760742,0.119316048920155,0.0325184911489487,0.0168328247964382,0.956825792789459,0.448828876018524,193.894073486328,16.1578388214111,238.105926513672,19.8421592712402,0.166739121079445,0.00362827582284808,0.00164237560238689,0.0714924111962318,0.76265013217926,292.857666015625,24.4048042297363,91.142333984375,7.59519481658936,0.0867052227258682,0.000722443161066622,0.00055224058451131,0.00544648338109255
"DED4",2,"DE","Chemnitz","Chemnitz",NA,NA,NA,"DED4",0.440346449613571,26.8611335754395,0.123486250638962,0.440346449613571,322.333587646484,26.8611335754395,409.666381835938,34.1388664245605,0.123486250638962,0.0426254272460938,0.0194697305560112,1.41249740123749,0.373609215021133,161.399185180664,13.4499320983887,270.600799560547,22.5500679016113,0.158730641007423,0.00473948195576668,0.00204851967282593,0.0968746468424797,0.749039173126221,287.631011962891,23.9692535400391,96.3689651489258,8.03074741363525,0.0919470489025116,0.000737923430278897,0.000555389269720763,0.00584109453484416
"DED5",2,"DE","Leipzig","Leipzig",NA,NA,NA,"DED5",0.559150576591492,34.1081848144531,0.124753564596176,0.559150576591492,409.298217773438,34.1081848144531,322.701812744141,26.8918170928955,0.124753564596176,0.0397649295628071,0.022200021892786,1.07145941257477,0.487555772066116,210.624084472656,17.5520076751709,221.375930786133,18.4479942321777,0.177468717098236,0.00490598194301128,0.00238878093659878,0.0906192511320114,0.765929281711578,294.116851806641,24.5097370147705,89.8831481933594,7.49026250839233,0.0668117851018906,0.000901417108252645,0.000690762768499553,0.00674093887209892
"DEE0",2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",NA,NA,NA,"DEE0",0.541266798973083,33.0172729492188,0.122149549424648,0.541266798973083,396.207275390625,33.0172729492188,335.792724609375,27.9827270507812,0.122149549424648,0.0329268425703049,0.0179282650351524,0.914913177490234,0.469084888696671,202.644683837891,16.887056350708,229.355331420898,19.1129455566406,0.173715099692345,0.00199498585425317,0.000950090645346791,0.0376162305474281,0.782590746879578,300.514831542969,25.0429039001465,83.4851455688477,6.9570951461792,0.0773027613759041,0.0017920951358974,0.0014043147675693,0.0124089764431119
"DEF0",2,"DE","Schleswig-Holstein","Schleswig-Holstein",NA,NA,NA,"DEF0",0.41074150800705,25.055233001709,0.122642919421196,0.41074150800705,300.662780761719,25.055233001709,431.337188720703,35.944766998291,0.122642919421196,0.0386143401265144,0.0157308876514435,1.41004383563995,0.298677831888199,129.02880859375,10.7524013519287,302.971160888672,25.2475986480713,0.145432472229004,0.0136487940326333,0.00421840418130159,0.339494049549103,0.749947786331177,287.979949951172,23.9983291625977,96.0200576782227,8.00167179107666,0.110031612217426,0.000421445380197838,0.000321281055221334,0.00320525770075619
"DEG0",2,"DE","Thüringen","Thüringen",NA,NA,NA,"DEG0",0.46648845076561,28.4557971954346,0.128919526934624,0.46648845076561,341.469543457031,28.4557971954346,390.530456542969,32.5442047119141,0.128919526934624,0.039261631667614,0.0187606252729893,1.25056147575378,0.403154224157333,174.162628173828,14.5135526657104,257.837371826172,21.4864482879639,0.170366212725639,0.00439339457079768,0.00195078854449093,0.0879338085651398,0.758354425430298,291.208068847656,24.2673416137695,92.7919158935547,7.7326602935791,0.0982463136315346,0.000588110240641981,0.000449041282990947,0.00445020711049438
